sql [2025-06-09 00:08:27] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:28] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

sql [2025-06-09 00:08:29] [INFO]: Testing log sql, done

